"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WSF2","WT01","WT02","WT03","WT04","WT05","WT08","WT09","WT10"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-04-24","10.96"," 1304","0.01",,,,"51","37","  260","19.9",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-04-25","10.51"," 0324","0.01",,,,"51","41","  240","23.9","    1",,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-04-26","11.18"," 1237","0.00",,,,"68","40","  210","21.9",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-04-27","6.49"," 1215","0.00",,,,"68","46","   90","16.1",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-04-28","6.04"," 1437","0.06",,,,"63","52","   90","13.0","    1",,,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-04-29","11.63"," 1634","0.00",,,,"74","52","  170","19.9","    1",,,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-04-30","14.76"," 1627","0.00",,,,"86","60","  200","23.0",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-05-01","8.05"," 1633","0.00",,,,"85","63","  170","19.9",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-05-02","16.11"," 2138","0.00",,,,"71","42","   20","28.0",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-05-03","11.18"," 0113","0.02",,,,"50","40","   20","21.9",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-05-04","7.61"," 1440","0.00",,,,"72","49","   80","21.0",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-05-05","8.50"," 1406","0.00",,,,"70","49","   30","19.9",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-05-06","7.61"," 1321","0.00",,,,"70","51","   20","16.1",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-05-07","6.26"," 2024","0.00",,,,"76","49","   30","13.0",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-05-08","4.47"," 1445","0.00",,,,"77","46","   90","14.1",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-05-09","5.59"," 1545","0.63",,,,"76","50","  210","19.9","    1",,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-05-10","10.74"," 1728","0.04",,,,"50","44","  360","21.9","    1",,,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-05-11","11.18"," 1716","0.00",,,,"62","44","  310","30.0","    1",,,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-05-12","9.62"," 1330","0.00",,,,"55","38","  310","21.0",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-05-13","6.26"," 1243","0.00",,,,"61","38","   50","19.9",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-05-14","11.41"," 0702","0.00",,,,"90","57","  210","21.9",,,,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-05-15","9.62"," 0319","0.00",,,,"83","62","  250","23.0",,,,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-05-16","5.37"," 1627","0.00",,,,"81","57","   60","14.1",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-05-17","6.04"," 1344","0.00",,,,"73","58","   10","16.1",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-05-18","6.93"," 1206","0.00",,,,"79","59","  100","14.1","    1",,,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-05-19","8.05"," 1550","0.00",,,,"87","62","  130","19.9",,,,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-05-20","14.32"," 2158","1.25",,,,"92","65","  250","36.9","    1",,"    1",,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-05-21","12.75"," 1605","0.20",,,,"82","65","  210","23.0","    1",,"    1",,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-05-22","9.40"," 1139","0.65",,,,"73","56","  210","21.0","    1",,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-05-23","18.12"," 1307","0.12",,,,"56","43","  360","33.1","    1",,,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-05-24","8.95"," 0054","0.00",,,,"57","42","   30","21.0",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-05-25","3.80"," 1418","0.00",,,,"57","46","   70","12.1",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-05-26","5.82"," 1312","0.00",,,,"67","46","   80","15.0",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-05-27","8.28"," 0752","0.19",,,,"65","56","  130","15.0","    1",,"    1",,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-05-28","10.29"," 1946","2.20",,,,"76","59","  240","25.1","    1",,"    1",,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-05-29","9.17"," 1732","0.02",,,,"85","65","  180","16.1",,,,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-05-30","13.87"," 1839","0.09",,,,"84","65","  190","25.9","    1",,"    1",,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-05-31","12.75"," 1340","0.23",,,,"78","65","  220","21.0","    1",,"    1",,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-06-01","11.86"," 1047","0.44",,,,"76","63","  210","23.0","    1",,"    1",,,"    1",,
