"","Date","total_trips"
"1102",2018-04-27,64
"1103",2018-04-28,55
"1104",2018-04-29,44
"1105",2018-04-30,114
"1106",2018-05-01,121
"1107",2018-05-02,88
"1108",2018-05-03,88
"1109",2018-05-04,81
"1110",2018-05-05,98
"1111",2018-05-06,47
"1112",2018-05-07,94
"1113",2018-05-08,82
"1114",2018-05-09,80
"1115",2018-05-10,89
"1116",2018-05-11,74
"1117",2018-05-12,48
"1118",2018-05-13,49
"1119",2018-05-14,72
"1120",2018-05-15,96
"1121",2018-05-16,107
"1122",2018-05-17,111
"1123",2018-05-18,73
"1124",2018-05-19,46
"1125",2018-05-20,50
"1126",2018-05-21,37
"1127",2018-05-22,97
"1128",2018-05-23,92
"1129",2018-05-24,121
"1130",2018-05-25,93
"1131",2018-05-26,61
"1132",2018-05-27,75
"1133",2018-05-28,86
"1134",2018-05-29,132
"1135",2018-05-30,102
"1136",2018-05-31,115
"1137",2018-06-01,106
"1138",2018-06-02,77
"1139",2018-06-03,55
"1140",2018-06-04,130
"1141",2018-06-05,90
"1142",2018-06-06,84
"1143",2018-06-07,102
"1144",2018-06-08,42
"1145",2018-06-09,28
"1146",2018-06-10,17
"1147",2018-06-11,51
"1148",2018-06-12,49
"1149",2018-06-13,66
"1150",2018-06-14,51
