"","Date","visitor_count","is_schyr","quarter","year","school_year"
"305",2010-05-01,2048,1,2,2010,2009
"306",2010-05-02,3547,1,2,2010,2009
"307",2010-05-03,5482,1,2,2010,2009
"308",2010-05-04,5080,1,2,2010,2009
"309",2010-05-05,5134,1,2,2010,2009
"310",2010-05-06,4527,1,2,2010,2009
"311",2010-05-07,2951,1,2,2010,2009
"312",2010-05-08,1562,1,2,2010,2009
"313",2010-05-09,2706,1,2,2010,2009
"314",2010-05-10,5238,1,2,2010,2009
"315",2010-05-11,4900,1,2,2010,2009
"316",2010-05-12,5231,1,2,2010,2009
"317",2010-05-13,4827,1,2,2010,2009
"318",2010-05-14,3572,1,2,2010,2009
"319",2010-05-15,1758,1,2,2010,2009
"320",2010-05-16,3188,1,2,2010,2009
"321",2010-05-17,5176,1,2,2010,2009
"322",2010-05-18,5000,1,2,2010,2009
"323",2010-05-19,4859,1,2,2010,2009
"324",2010-05-20,4332,1,2,2010,2009
"325",2010-05-21,3283,1,2,2010,2009
"326",2010-05-22,1754,1,2,2010,2009
"327",2010-05-23,3075,1,2,2010,2009
"328",2010-05-24,5814,1,2,2010,2009
"329",2010-05-25,5527,1,2,2010,2009
"330",2010-05-26,5507,1,2,2010,2009
"331",2010-05-27,4913,1,2,2010,2009
"332",2010-05-28,3564,1,2,2010,2009
"333",2010-05-29,1882,1,2,2010,2009
"334",2010-05-30,3037,1,2,2010,2009
"335",2010-05-31,4229,1,2,2010,2009
"336",2010-06-01,6832,1,2,2010,2009
"337",2010-06-02,5801,1,2,2010,2009
"338",2010-06-03,4973,1,2,2010,2009
"339",2010-06-04,3955,1,2,2010,2009
"340",2010-06-05,2587,1,2,2010,2009
"341",2010-06-06,3705,1,2,2010,2009
"342",2010-06-07,5136,1,2,2010,2009
"343",2010-06-08,4601,1,2,2010,2009
"344",2010-06-09,4369,1,2,2010,2009
"345",2010-06-10,3956,1,2,2010,2009
"346",2010-06-11,2351,1,2,2010,2009
"347",2010-06-12,581,1,2,2010,2009
"348",2010-06-13,523,1,2,2010,2009
"349",2010-06-14,1795,1,2,2010,2009
"350",2010-06-15,1649,1,2,2010,2009
"351",2010-06-16,1652,1,2,2010,2009
